IPCB.Pos,Reff.SiPM.SN,iPCB.ID,Temp.Sensor.ID,BDV@-50C,OV,Vop,PDE@405nm,PDE@421nm,PDE@405nm_err,PDE@421nm_err
0,11671,1,03213cc705ff,47.44,5.5,53.09,0.4987605279897673,0.507987597757578,0.0344320218899875,0.035069014294952267
1,11678,23,122214063fff,47.42,5.5,53.09,0.5051765895079479,0.5145223564138449,0.0348659481756383,0.03551096821688761
2,11676,5,03213d858fff,47.56,5.5,53.09,0.4963884909731368,0.5055716780561398,0.034278065438809,0.03491220964942696
3,11677,6,03213d4b74ff,47.49,5.5,53.09,0.5007109373417307,0.5099740896825526,0.0345672464498835,0.035206740509206344
4,11675,7,03213cd7e2ff,47.51,5.5,53.09,0.4744014902630248,0.48317791783289077,0.0105360784417093,0.010730995892880922
5,11673,25,1222140505ff,47.25,5.5,53.09,0.5009307634860329,0.5101979826105245,0.0110294123305325,0.01123345645864735
6,11670,19,03213f3f51ff,47.36,5.5,53.09,0.5134045458540037,0.5229025299523028,0.0112916534948144,0.011500549084468466
7,11682,11,03213c5a72ff,47.49,5.5,53.09,0.4998458456175099,0.5090929937614338,0.0110117483285434,0.011215465672621454
8,11681,12,03213cd8c9ff,47.55,5.5,53.09,0.5014360583246745,0.510712625403681,0.0110405097126942,0.01124475914237904
9,11669,13,03213d6cb7ff,47.55,5.5,53.09,0.4978268919145074,0.5070366894149257,0.0109890675821573,0.01119236533242721
10,11674,15,03213cdefcff,47.46,5.5,53.09,0.5081487934621697,0.5175495461412198,0.0111909048198657,0.011397936559033215
11,11683,17,03213d8890ff,47.45,5.5,53.09,0.5019613251949381,0.5112476097110444,0.0110510863752342,0.011255531473176032
12,11680,20,03213d7480ff,47.6,5.5,53.09,0.4956280126162187,0.5047971308496187,0.0342239934268644,0.03485713730526139
13,11668,18,03213ce2b6ff,47.03,5.5,53.09,0.5129779331280578,0.5224680248909269,0.0112956786925612,0.011504648748373581
14,11667,16,03213d1a6dff,46.89,5.5,53.09,0.5193143746321367,0.5289216905628312,0.011409606004277,0.011620683715356125
15,11679,2,03213d83a6ff,47.59,5.5,53.09,0.4972211839153068,0.5064197758177399,0.0109479799306987,0.011150517559416626
